# Device	Value	Spec	footprint	Manufacturer	Part#
CAPACITOR	0.1uF	16WVDC X7R	0603	Murata Electronics North America	GRM188R71C104KA01D
RESISTOR	3.00k	1%	0603	Panasonic Electronic Components	ERJ-3EKF3001V
RESISTOR	330	1/8W	0805	Panasonic Electronic Components	ERJ-6ENF3300V
MAX4452EXK	unknown	unknown	SC70	Maxim Integrated	MAX4452EXK+T
MAX4594DCKR	unknown	unknown	SC70	Texas Instruments	MAX4594DCKR
CAPACITOR	0.1uF	25WVDC X7R	0603	Murata Electronics North America	GRM188R71E104KA01D
RESISTOR	470	1% 1/10W	0603	Rohm Semiconductor	MCR03ERTF4700
CAPACITOR	22nF	50WVDC X7R	0603	Murata Electronics North America	GRM188R71H223KA01D
CAPACITOR	1nF	50WVDC C0G	0603	Murata Electronics North America	GRM1885C1H102JA01D
CAPACITOR	2pF	25WVDC X7R	0603	TDK Corp	C1608C0G1H020C080AA
CAPACITOR	4.7uF	10WVDC X7R	1812	TDK Corp	C4532X7R1E475K200KM
CAPACITOR	7.5nF	16WVDC X7R	0603	Kemet	C0603C752J3GAC7867
RESISTOR	46.4	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF46R4V
RESISTOR	1.00Meg	1%	0603	Panasonic Electronic Components	ERJ-3EKF1004V
RESISTOR	100k	1%	0603	Panasonic Electronic Components	ERJ-3EKF1003V
RESISTOR	3.01k	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF3011V
RESISTOR	300k	1%	0603	Panasonic Electronic Components	ERJ-3EKF3003V
DUAL_OPAMP	LM6142AIM	N/A	SO8	Texas Instruments	LM6142AIM/NOPB
RESISTOR	200k	1%	0603	Panasonic Electronic Components	ERJ-3EKF2003V
RESISTOR	604k	1%	0603	Panasonic Electronic Components	ERJ-3EKF6043V
CAPACITOR	0.22uF	25WVDC X7R	1206	Murata Electronics North America	GRM319R71H224KA01D
CAPACITOR	3.3nF	50WVDC X7R	0603	Murata Electronics North America	GRM188R71H332KA01D
DUAL_OPAMP	LT2078AIS8	N/A	SO8	Linear Technology	LT2078AIS8
RESISTOR	49.9	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF49R9V
CAPACITOR	0.047uF	50WVDC X7R	0603	Murata Electronics North America	GRM188R71H473KA61D
RESISTOR	1	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3RQF1R0V
RESISTOR	44.2k	1%	0603	Panasonic Electronic Components	ERJ-3EKF4422V
CAPACITOR	0.1uF	10WVDC	0603	Murata Electronics North America	GRM188R71E104KA01D
RESISTOR	10k	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF1002V
RESISTOR	7.5k	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF7501V
AD7984BRMZ	unknown	unknown	MSOP10	Analog Devices	AD7984BRMZ
CAPACITOR	100pF	5% NP0 Vitreous	0505	Vishay Vitramon	VJ0505D101JXCAJ
CAPACITOR	1uF	10WVDC X7R	0805	Murata Electronics North America	GRM21BR71A105KA01L
CAPACITOR	220pF	50WVDC	0805	Murata Electronics North America	GRM216R71H221KA01D
CAPACITOR	330pF	50WVDC X7R	0603	Murata Electronics North America	GRM188R72E331KW07D
